category,n_orders,overall_low_rate,ontime_low_rate,late_low_rate,n_late,type
fashion_male_clothing,105,0.22857142857142856,0.2079207920792079,,4,Type B — intrinsic product/service risk
office_furniture,1236,0.21844660194174756,0.18505338078291814,0.5535714285714286,112,Type B — intrinsic product/service risk
audio,341,0.21407624633431085,0.1414141414141414,0.7045454545454546,44,Type B — intrinsic product/service risk
home_confort,368,0.1793478260869565,0.14242424242424243,0.5,38,Type B — intrinsic product/service risk
fixed_telephony,209,0.1674641148325359,0.1407035175879397,,10,Type B — intrinsic product/service risk
fashion_underwear_beach,116,0.16379310344827586,0.07920792079207921,0.7333333333333333,15,Not flagged
bed_bath_table,9072,0.15729717813051147,0.11878319652341864,0.5621827411167513,788,Not flagged
construction_tools_safety,153,0.1568627450980392,0.136986301369863,,7,Not flagged
home_construction,464,0.15301724137931033,0.12441314553990611,0.47368421052631576,38,Not flagged
furniture_decor,6167,0.14982973893303064,0.11321757618710135,0.5449330783938815,523,Not flagged
computers_accessories,6469,0.1448446436852682,0.11244979919678715,0.537525354969574,493,Not flagged
telephony,4052,0.140177690029615,0.10841423948220065,0.48255813953488375,344,Not flagged
baby,2741,0.1375410434148121,0.09076305220883533,0.601593625498008,251,Not flagged
air_conditioning,241,0.13692946058091288,0.11637931034482758,,9,Not flagged
watches_gifts,5430,0.13535911602209943,0.09569762766385204,0.5679824561403509,456,Not flagged
furniture_living_room,404,0.13366336633663367,0.09164420485175202,0.6060606060606061,33,Not flagged
art,189,0.13227513227513227,0.10344827586206896,0.4666666666666667,15,Not flagged
construction_tools_construction,723,0.1313969571230982,0.09270516717325228,0.5230769230769231,65,Not flagged
electronics,2488,0.13062700964630225,0.09094962104324565,0.49387755102040815,245,Not flagged
auto,3774,0.12851086380498145,0.09127789046653144,0.5263157894736842,323,Not flagged
home_appliances_2,225,0.12444444444444444,0.08133971291866028,0.6875,16,Not flagged
agro_industry_and_commerce,177,0.12429378531073447,0.09523809523809523,,9,Not flagged
garden_tools,3395,0.1187039764359352,0.08128,0.5518518518518518,270,Not flagged
signaling_and_security,137,0.11678832116788321,0.1,,7,Not flagged
market_place,266,0.11654135338345864,0.10276679841897234,0.38461538461538464,13,Not flagged
perfumery,3063,0.11622592229840026,0.08036658442016215,0.5663716814159292,226,Not flagged
housewares,5655,0.11582670203359859,0.08735282947208507,0.5012853470437018,389,Not flagged
costruction_tools_garden,183,0.11475409836065574,0.09411764705882353,0.38461538461538464,13,Not flagged
christmas_supplies,123,0.11382113821138211,0.08035714285714286,0.45454545454545453,11,Not flagged
small_appliances,601,0.11314475873544093,0.09397163120567376,0.40540540540540543,37,Not flagged
musical_instruments,601,0.11314475873544093,0.06398537477148081,0.6111111111111112,54,Not flagged
toys,3748,0.11312700106723586,0.07539568345323741,0.5934065934065934,273,Not flagged
health_beauty,8562,0.11282410651716888,0.07315823190262652,0.5217965653896962,757,Not flagged
sports_leisure,7446,0.11240934730056407,0.07480716052976277,0.5617391304347826,575,Not flagged
home_appliances,744,0.11021505376344086,0.08501440922190202,0.46,50,Not flagged
cool_stuff,3502,0.10993717875499714,0.07744107744107744,0.5617021276595745,235,Not flagged
computers,173,0.10982658959537572,0.07975460122699386,,10,Not flagged
kitchen_dining_laundry_garden_furniture,237,0.10970464135021098,0.08849557522123894,0.5454545454545454,11,Not flagged
consoles_games,1005,0.10945273631840796,0.07675675675675675,0.4875,80,Not flagged
fashion_shoes,229,0.1091703056768559,0.07441860465116279,0.6428571428571429,14,Not flagged
pet_shop,1674,0.10454002389486261,0.07770700636942675,0.5096153846153846,104,Not flagged
food,431,0.10208816705336426,0.06701030927835051,0.4186046511627907,43,Not flagged
industry_commerce_and_business,226,0.10176991150442478,0.07692307692307693,0.3888888888888889,18,Not flagged
fashion_bags_accessories,1802,0.10099889012208657,0.06951871657754011,0.5462184873949579,119,Not flagged
stationery,2234,0.09758281110116383,0.060164968461911696,0.5433526011560693,173,Not flagged
drinks,284,0.09507042253521127,0.06415094339622641,0.5263157894736842,19,Not flagged
books_technical,254,0.09448818897637795,0.0752212389380531,0.25,28,Not flagged
construction_tools_lights,228,0.08771929824561403,0.05314009661835749,0.42857142857142855,21,Not flagged
luggage_accessories,1004,0.07868525896414343,0.05473684210526316,0.5,54,Not flagged
books_general_interest,488,0.06147540983606557,0.035164835164835165,0.42424242424242425,33,Not flagged
food_drink,218,0.04128440366972477,0.0196078431372549,0.35714285714285715,14,Not flagged
