product_category_name_english,n_orders,avg_review,low_rating_rate,revenue,absolute_low_rating_orders,quadrant
bed_bath_table,9072,4.0111,0.15729717813051147,1012258.63,1427,Intervene First
health_beauty,8562,4.2349,0.11282410651716888,1223620.98,966,Protect
sports_leisure,7446,4.2331,0.11240934730056407,950051.77,837,Protect
computers_accessories,6469,4.0839,0.1448446436852682,883106.51,937,Intervene First
furniture_decor,6167,4.0728,0.14982973893303064,709668.14,924,Intervene First
housewares,5655,4.2032,0.11582670203359859,613650.74,655,Protect
watches_gifts,5430,4.1267,0.13535911602209943,1156380.28,734,Intervene First
telephony,4052,4.056,0.140177690029615,308057.68,568,Intervene First
auto,3774,4.151,0.12851086380498145,571366.4,485,Intervene First
toys,3748,4.2401,0.11312700106723586,465870.27,424,Protect
cool_stuff,3502,4.2276,0.10993717875499714,604243.46,385,Protect
garden_tools,3395,4.1941,0.1187039764359352,467829.04,403,Intervene First
perfumery,3063,4.2664,0.11622592229840026,389225.75,356,Intervene First
baby,2741,4.1219,0.1375410434148121,396696.47,377,Intervene First
electronics,2488,4.1286,0.13062700964630225,152071.94,325,Intervene First
stationery,2234,4.3062,0.09758281110116383,223084.83,218,Protect
fashion_bags_accessories,1802,4.2431,0.10099889012208657,148422.42,182,Protect
pet_shop,1674,4.2802,0.10454002389486261,211001.76,175,Protect
office_furniture,1236,3.6513,0.21844660194174756,264467.67,270,Intervene First
consoles_games,1005,4.1851,0.10945273631840796,145939.37,110,Protect
luggage_accessories,1004,4.3795,0.07868525896414343,137195.7,79,Protect
home_appliances,744,4.2124,0.11021505376344086,78610.63,82,Protect
construction_tools_construction,723,4.1328,0.1313969571230982,141137.65,95,Intervene First
musical_instruments,601,4.2479,0.11314475873544093,181613.69,68,Protect
small_appliances,601,4.2646,0.11314475873544093,180848.92,68,Protect
books_general_interest,488,4.5389,0.06147540983606557,44933.48,30,Protect
home_construction,464,4.0539,0.15301724137931033,80732.36,71,Monitor / Investigate
food,431,4.3248,0.10208816705336426,27955.25,44,Lower Priority
furniture_living_room,404,4.0941,0.13366336633663367,66668.53,54,Monitor / Investigate
home_confort,368,3.9076,0.1793478260869565,57752.1,66,Monitor / Investigate
audio,341,3.8475,0.21407624633431085,50918.01,73,Monitor / Investigate
drinks,284,4.257,0.09507042253521127,22037.14,27,Lower Priority
market_place,266,4.1165,0.11654135338345864,27550.41,31,Monitor / Investigate
books_technical,254,4.4252,0.09448818897637795,18746.19,24,Lower Priority
air_conditioning,241,4.1286,0.13692946058091288,52618.75,33,Monitor / Investigate
kitchen_dining_laundry_garden_furniture,237,4.135,0.10970464135021098,45445.53,26,Lower Priority
fashion_shoes,229,4.2751,0.1091703056768559,22533.26,25,Lower Priority
construction_tools_lights,228,4.2149,0.08771929824561403,39992.46,20,Lower Priority
industry_commerce_and_business,226,4.2345,0.10176991150442478,37711.8,23,Lower Priority
home_appliances_2,225,4.1556,0.12444444444444444,107595.05,28,Monitor / Investigate
food_drink,218,4.445,0.04128440366972477,14873.57,9,Lower Priority
fixed_telephony,209,3.9665,0.1674641148325359,54794.72,35,Monitor / Investigate
art,189,4.127,0.13227513227513227,23068.23,25,Monitor / Investigate
costruction_tools_garden,183,4.2787,0.11475409836065574,23879.94,21,Lower Priority
agro_industry_and_commerce,177,4.1073,0.12429378531073447,70566.1,22,Monitor / Investigate
computers,173,4.2428,0.10982658959537572,208529.14,19,Lower Priority
construction_tools_safety,153,4.0196,0.1568627450980392,38100.43,24,Monitor / Investigate
signaling_and_security,137,4.1168,0.11678832116788321,21278.95,16,Monitor / Investigate
christmas_supplies,123,4.1138,0.11382113821138211,8043.12,14,Lower Priority
fashion_underwear_beach,116,4.0086,0.16379310344827586,9256.05,19,Monitor / Investigate
fashion_male_clothing,105,3.819,0.22857142857142856,10257.33,24,Monitor / Investigate
