product_category_name_english,n_orders,avg_review,low_rating_rate,revenue,absolute_low_rating_orders
bed_bath_table,9072,4.0111,0.15729717813051147,1012258.63,1427
health_beauty,8562,4.2349,0.11282410651716888,1223620.98,966
sports_leisure,7446,4.2331,0.11240934730056407,950051.77,837
computers_accessories,6469,4.0839,0.1448446436852682,883106.51,937
furniture_decor,6167,4.0728,0.14982973893303064,709668.14,924
housewares,5655,4.2032,0.11582670203359859,613650.74,655
watches_gifts,5430,4.1267,0.13535911602209943,1156380.28,734
telephony,4052,4.056,0.140177690029615,308057.68,568
auto,3774,4.151,0.12851086380498145,571366.4,485
toys,3748,4.2401,0.11312700106723586,465870.27,424
cool_stuff,3502,4.2276,0.10993717875499714,604243.46,385
garden_tools,3395,4.1941,0.1187039764359352,467829.04,403
perfumery,3063,4.2664,0.11622592229840026,389225.75,356
baby,2741,4.1219,0.1375410434148121,396696.47,377
electronics,2488,4.1286,0.13062700964630225,152071.94,325
stationery,2234,4.3062,0.09758281110116383,223084.83,218
fashion_bags_accessories,1802,4.2431,0.10099889012208657,148422.42,182
pet_shop,1674,4.2802,0.10454002389486261,211001.76,175
office_furniture,1236,3.6513,0.21844660194174756,264467.67,270
consoles_games,1005,4.1851,0.10945273631840796,145939.37,110
luggage_accessories,1004,4.3795,0.07868525896414343,137195.7,79
home_appliances,744,4.2124,0.11021505376344086,78610.63,82
construction_tools_construction,723,4.1328,0.1313969571230982,141137.65,95
musical_instruments,601,4.2479,0.11314475873544093,181613.69,68
small_appliances,601,4.2646,0.11314475873544093,180848.92,68
books_general_interest,488,4.5389,0.06147540983606557,44933.48,30
home_construction,464,4.0539,0.15301724137931033,80732.36,71
food,431,4.3248,0.10208816705336426,27955.25,44
furniture_living_room,404,4.0941,0.13366336633663367,66668.53,54
home_confort,368,3.9076,0.1793478260869565,57752.1,66
audio,341,3.8475,0.21407624633431085,50918.01,73
drinks,284,4.257,0.09507042253521127,22037.14,27
market_place,266,4.1165,0.11654135338345864,27550.41,31
books_technical,254,4.4252,0.09448818897637795,18746.19,24
air_conditioning,241,4.1286,0.13692946058091288,52618.75,33
kitchen_dining_laundry_garden_furniture,237,4.135,0.10970464135021098,45445.53,26
fashion_shoes,229,4.2751,0.1091703056768559,22533.26,25
construction_tools_lights,228,4.2149,0.08771929824561403,39992.46,20
industry_commerce_and_business,226,4.2345,0.10176991150442478,37711.8,23
home_appliances_2,225,4.1556,0.12444444444444444,107595.05,28
food_drink,218,4.445,0.04128440366972477,14873.57,9
fixed_telephony,209,3.9665,0.1674641148325359,54794.72,35
art,189,4.127,0.13227513227513227,23068.23,25
costruction_tools_garden,183,4.2787,0.11475409836065574,23879.94,21
agro_industry_and_commerce,177,4.1073,0.12429378531073447,70566.1,22
computers,173,4.2428,0.10982658959537572,208529.14,19
construction_tools_safety,153,4.0196,0.1568627450980392,38100.43,24
signaling_and_security,137,4.1168,0.11678832116788321,21278.95,16
christmas_supplies,123,4.1138,0.11382113821138211,8043.12,14
fashion_underwear_beach,116,4.0086,0.16379310344827586,9256.05,19
fashion_male_clothing,105,3.819,0.22857142857142856,10257.33,24
costruction_tools_tools,94,4.4255,0.0851063829787234,15774.25,8
furniture_bedroom,89,4.2921,0.11235955056179775,18807.6,10
tablets_printing_image,75,4.1733,0.12,6362.43,9
small_appliances_home_oven_and_coffee,72,4.4306,0.06944444444444445,46589.56,5
cine_photo,63,4.3333,0.1111111111111111,6898.35,7
dvds_blu_ray,56,4.1964,0.14285714285714285,4637.48,8
books_imported,49,4.5102,0.08163265306122448,4398.87,3
party_supplies,38,4.0789,0.15789473684210525,4565.18,6
music,37,4.2973,0.08108108108108109,6138.88,3
furniture_mattress_and_upholstery,37,3.8919,0.1891891891891892,4323.38,7
fashio_female_clothing,36,3.9167,0.16666666666666666,2699.93,6
flowers,28,4.3929,0.07142857142857142,1128.88,2
diapers_and_hygiene,25,3.96,0.12,1500.79,3
fashion_sport,24,4.5417,0.041666666666666664,1969.63,1
arts_and_craftmanship,22,4.1364,0.13636363636363635,1804.92,3
home_comfort_2,21,3.9048,0.19047619047619047,695.77,4
cds_dvds_musicals,12,4.6667,0.0,730.0,0
la_cuisine,11,4.5455,0.09090909090909091,1893.99,1
fashion_childrens_clothes,7,5.0,0.0,589.93,0
security_and_services,2,2.5,0.5,283.29,1
