customer_state,n_orders,avg_delivery_days,late_rate,avg_review,low_rating_rate
AC,80,21.036,0.038,4.088,0.15
AL,394,24.457,0.234,3.848,0.2131979695431472
AM,144,26.353,0.042,4.243,0.13194444444444445
AP,66,27.122,0.045,4.242,0.06060606060606061
BA,3229,19.246,0.137,3.931,0.17002167853824712
CE,1273,21.205,0.152,3.944,0.17124901806755696
DF,2070,12.962,0.071,4.131,0.1323671497584541
ES,1969,15.61,0.119,4.079,0.13814118842051804
GO,1946,15.558,0.08,4.106,0.131551901336074
MA,712,21.442,0.192,3.833,0.199438202247191
MG,11285,11.984,0.055,4.192,0.11750110766504208
MS,699,15.626,0.116,4.162,0.13304721030042918
MT,879,17.965,0.066,4.146,0.12741751990898748
PA,933,23.641,0.119,3.914,0.1789924973204716
PB,512,20.247,0.107,4.076,0.1484375
PE,1579,18.372,0.106,4.083,0.1481950601646612
PI,471,19.494,0.159,3.994,0.1613588110403397
PR,4900,11.972,0.049,4.24,0.10877551020408163
RJ,12211,15.242,0.133,3.965,0.18327737286053558
RN,471,19.254,0.106,4.151,0.12951167728237792
RO,242,19.373,0.029,4.165,0.11983471074380166
RR,41,29.388,0.122,3.902,0.14634146341463414
RS,5326,15.28,0.071,4.185,0.11922643634998123
SC,3519,14.879,0.096,4.134,0.12986643932935493
SE,334,21.439,0.15,3.907,0.18862275449101795
SP,40266,8.747,0.058,4.246,0.10686435205880893
TO,273,17.677,0.128,4.154,0.12087912087912088
