customer_state,n_orders,avg_review,low_rating_rate,late_delivery_rate,avg_delay_vs_estimate,avg_delivery_days,cross_state_share,low_rating_orders,order_share_pct,priority_group,root_cause
AL,394,3.8477157360406093,0.2131979695431472,0.233502538071066,-8.141584708121828,24.457127338315473,1.0,84.0,0.41,Low Scale + High Risk,Delivery-driven
BA,3229,3.930628677609167,0.17002167853824712,0.13719417776401363,-10.200973985754104,19.245508649908814,0.9795602353669867,549.0,3.37,High Scale + High Risk,Delivery-driven
CE,1273,3.9442262372348784,0.17124901806755696,0.15239591516103693,-10.160137788760874,21.205485720156528,0.992930086410055,218.0,1.33,High Scale + High Risk,Delivery-driven
DF,2070,4.131400966183575,0.1323671497584541,0.07101449275362319,-11.327572530864197,12.96162927178386,0.976328502415459,274.0,2.16,High Scale + Low Risk,Not high-risk
ES,1969,4.078720162519045,0.13814118842051804,0.11884205180294566,-9.983376008690254,15.609603078033595,0.9969527679024885,272.0,2.05,High Scale + High Risk,Delivery-driven
GO,1946,4.105858170606372,0.131551901336074,0.07965056526207605,-11.544512449564158,15.558286109207872,0.9840698869475848,256.0,2.03,High Scale + Low Risk,Not high-risk
MA,712,3.832865168539326,0.199438202247191,0.19241573033707865,-8.965134158473782,21.44158841162089,0.9803370786516854,142.0,0.74,Low Scale + High Risk,Delivery-driven
MG,11285,4.192290651307045,0.11750110766504208,0.05511741249446168,-12.561531439226112,11.983982574787904,0.865485157288436,1326.0,11.78,High Scale + Low Risk,Not high-risk
MS,699,4.161659513590844,0.13304721030042918,0.11587982832618025,-10.32839974765538,15.626169610687224,1.0,93.0,0.73,Low Scale + High Risk,Delivery-driven
MT,879,4.145620022753128,0.12741751990898748,0.06598407281001138,-13.773577521278389,17.96547934310875,0.9931740614334471,111.99999999999999,0.92,Low Scale + Low Risk,Not high-risk
PA,933,3.9142550911039655,0.1789924973204716,0.1189710610932476,-13.510867025921955,23.6414641885991,1.0,167.0,0.97,Low Scale + High Risk,Delivery-driven
PB,512,4.076171875,0.1484375,0.107421875,-12.78609216760706,20.246941076208042,0.998046875,76.0,0.53,Low Scale + High Risk,Delivery-driven
PE,1579,4.082963901203294,0.1481950601646612,0.10639645345155162,-12.674284349858091,18.37184647895996,0.9854338188727042,234.00000000000003,1.65,High Scale + High Risk,Delivery-driven
PI,471,3.9936305732484074,0.1613588110403397,0.1592356687898089,-10.617510075096328,19.494018538177244,0.9978768577494692,76.0,0.49,Low Scale + High Risk,Delivery-driven
PR,4900,4.239795918367347,0.10877551020408163,0.049183673469387755,-12.650480149281934,11.972297363945577,0.8555102040816327,533.0,5.11,High Scale + Low Risk,Not high-risk
RJ,12211,3.965440995823438,0.18327737286053558,0.13291294734255998,-11.113873091239837,15.241870977367098,0.9226107607894521,2238.0,12.74,High Scale + High Risk,Delivery-driven
RN,471,4.150743099787686,0.12951167728237792,0.10615711252653928,-12.995125250648739,19.25403271703232,0.9554140127388535,61.0,0.49,Low Scale + Low Risk,Not high-risk
RO,242,4.1652892561983474,0.11983471074380166,0.028925619834710745,-19.38502176117233,19.37347193526171,1.0,29.0,0.25,Low Scale + Low Risk,Not high-risk
RS,5326,4.184754036800601,0.11922643634998123,0.07097258730754788,-13.219133682945994,15.280344720953115,0.9461134059331581,635.0,5.56,High Scale + Low Risk,Not high-risk
SC,3519,4.133560670645069,0.12986643932935493,0.09633418584825235,-10.868458576063276,14.879042344863334,0.9278204035237283,457.0,3.67,High Scale + Low Risk,Not high-risk
SE,334,3.907185628742515,0.18862275449101795,0.1497005988023952,-9.376203669050788,21.438862240796187,1.0,62.99999999999999,0.35,Low Scale + High Risk,Delivery-driven
SP,40266,4.2457904932200865,0.10686435205880893,0.0583370585605722,-10.39904586381351,8.74717970116779,0.24127055083693438,4303.0,42.02,High Scale + Low Risk,Not high-risk
TO,273,4.153846153846154,0.12087912087912088,0.1282051282051282,-11.414358508004343,17.676524131732467,1.0,33.0,0.28,Low Scale + Low Risk,Not high-risk
